region,year,week,total_a,total_b,total_specimens,total_cases
New England,2018,43,12,4,1152,16
Middle Atlantic,2018,43,11,3,2845,14
East North Central,2018,43,20,8,3924,28
West North Central,2018,43,6,0,1773,6
South Atlantic,2018,43,252,62,5177,314
East South Central,2018,43,6,6,1061,12
West South Central,2018,43,21,14,2422,35
Mountain,2018,43,2,1,1507,3
Pacific,2018,43,10,3,1596,13
New England,2018,44,19,5,1279,24
Middle Atlantic,2018,44,12,2,2800,14
East North Central,2018,44,35,6,4097,41
West North Central,2018,44,7,2,1758,9
South Atlantic,2018,44,254,48,5362,302
East South Central,2018,44,5,3,1171,8
West South Central,2018,44,33,26,2731,59
Mountain,2018,44,6,3,1737,9
Pacific,2018,44,19,4,1561,23
New England,2018,45,25,0,1268,25
Middle Atlantic,2018,45,27,1,2828,28
East North Central,2018,45,45,10,4186,55
West North Central,2018,45,15,0,1935,15
South Atlantic,2018,45,360,60,5554,420
East South Central,2018,45,9,5,1260,14
West South Central,2018,45,34,15,3001,49
Mountain,2018,45,11,3,1663,14
Pacific,2018,45,20,4,1868,24
New England,2018,46,14,4,1234,18
Middle Atlantic,2018,46,32,1,2851,33
East North Central,2018,46,78,12,4466,90
West North Central,2018,46,37,0,2104,37
South Atlantic,2018,46,417,56,5876,473
East South Central,2018,46,10,6,1302,16
West South Central,2018,46,36,22,3007,58
Mountain,2018,46,18,2,1818,20
Pacific,2018,46,26,3,1861,29
New England,2018,47,24,0,1256,24
Middle Atlantic,2018,47,43,4,2940,47
East North Central,2018,47,86,8,4359,94
West North Central,2018,47,43,0,1950,43
South Atlantic,2018,47,510,36,6050,546
East South Central,2018,47,10,5,1211,15
West South Central,2018,47,97,18,3315,115
Mountain,2018,47,22,3,1705,25
Pacific,2018,47,62,2,1986,64
New England,2018,48,39,3,1551,42
Middle Atlantic,2018,48,85,8,3440,93
East North Central,2018,48,125,6,5212,131
West North Central,2018,48,34,1,2182,35
South Atlantic,2018,48,490,55,6348,545
East South Central,2018,48,13,3,1359,16
West South Central,2018,48,80,25,3813,105
Mountain,2018,48,51,4,2094,55
Pacific,2018,48,85,2,2329,87
New England,2018,49,72,5,1568,77
Middle Atlantic,2018,49,113,11,3625,124
East North Central,2018,49,179,12,5232,191
West North Central,2018,49,60,4,2340,64
South Atlantic,2018,49,768,73,6605,841
East South Central,2018,49,43,7,1500,50
West South Central,2018,49,131,27,3570,158
Mountain,2018,49,111,11,2110,122
Pacific,2018,49,183,2,2528,185
New England,2018,50,136,5,1748,141
Middle Atlantic,2018,50,229,10,3996,239
East North Central,2018,50,304,22,5603,326
West North Central,2018,50,153,1,2498,154
South Atlantic,2018,50,1375,94,7975,1469
East South Central,2018,50,147,5,1706,152
West South Central,2018,50,339,40,4234,379
Mountain,2018,50,232,13,2390,245
Pacific,2018,50,327,4,3002,331
New England,2018,51,264,1,2194,265
Middle Atlantic,2018,51,401,5,4583,406
East North Central,2018,51,596,24,6439,620
West North Central,2018,51,247,2,2977,249
South Atlantic,2018,51,1971,89,9085,2060
East South Central,2018,51,299,8,1976,307
West South Central,2018,51,722,43,4930,765
Mountain,2018,51,437,15,3069,452
Pacific,2018,51,352,5,3170,357
New England,2018,52,465,5,2731,470
Middle Atlantic,2018,52,733,14,5074,747
East North Central,2018,52,990,17,7518,1007
West North Central,2018,52,361,2,3573,363
South Atlantic,2018,52,2049,118,9985,2167
East South Central,2018,52,368,3,2146,371
West South Central,2018,52,844,54,5035,898
Mountain,2018,52,635,24,3731,659
Pacific,2018,52,404,7,3584,411
New England,2019,1,552,1,3314,553
Middle Atlantic,2019,1,762,5,5868,767
East North Central,2019,1,814,12,8984,826
West North Central,2019,1,339,2,3556,341
South Atlantic,2019,1,889,48,8038,937
East South Central,2019,1,331,10,2343,341
West South Central,2019,1,524,53,4610,577
Mountain,2019,1,628,12,3848,640
Pacific,2019,1,404,10,3892,414
New England,2019,2,596,6,3305,602
Middle Atlantic,2019,2,798,14,5720,812
East North Central,2019,2,715,26,7635,741
West North Central,2019,2,387,5,3550,392
South Atlantic,2019,2,688,62,7513,750
East South Central,2019,2,227,5,1831,232
West South Central,2019,2,525,68,4307,593
Mountain,2019,2,661,20,3676,681
Pacific,2019,2,478,12,4069,490
New England,2019,3,702,5,3355,707
Middle Atlantic,2019,3,1043,2,5756,1045
East North Central,2019,3,1041,18,7562,1059
West North Central,2019,3,440,3,3511,443
South Atlantic,2019,3,971,68,7523,1039
East South Central,2019,3,216,11,1907,227
West South Central,2019,3,887,46,4552,933
Mountain,2019,3,810,22,4069,832
Pacific,2019,3,563,12,3806,575
New England,2019,4,921,5,3538,926
Middle Atlantic,2019,4,1273,10,5734,1283
East North Central,2019,4,1174,26,7492,1200
West North Central,2019,4,609,8,3706,617
South Atlantic,2019,4,1185,79,8127,1264
East South Central,2019,4,341,10,1987,351
West South Central,2019,4,1221,66,5428,1287
Mountain,2019,4,885,25,4101,910
Pacific,2019,4,714,18,4081,732
New England,2019,5,978,8,3688,986
Middle Atlantic,2019,5,1326,4,6009,1330
East North Central,2019,5,1487,24,7541,1511
West North Central,2019,5,805,8,3868,813
South Atlantic,2019,5,1568,88,8757,1656
East South Central,2019,5,501,15,2561,516
West South Central,2019,5,2110,92,7012,2202
Mountain,2019,5,1016,44,4564,1060
Pacific,2019,5,885,9,4640,894
New England,2019,6,1004,6,3889,1010
Middle Atlantic,2019,6,1812,12,6818,1824
East North Central,2019,6,1615,48,8186,1663
West North Central,2019,6,914,9,3959,923
South Atlantic,2019,6,2064,115,9931,2179
East South Central,2019,6,593,16,2685,609
West South Central,2019,6,3035,131,9274,3166
Mountain,2019,6,1257,75,5021,1332
Pacific,2019,6,857,17,4267,874
New England,2019,7,805,11,3403,816
Middle Atlantic,2019,7,1848,85,6926,1933
East North Central,2019,7,2240,58,8826,2298
West North Central,2019,7,1143,13,4293,1156
South Atlantic,2019,7,1910,85,9526,1995
East South Central,2019,7,475,18,2611,493
West South Central,2019,7,2743,121,8941,2864
Mountain,2019,7,1281,109,4546,1390
Pacific,2019,7,909,15,4217,924
New England,2019,8,677,8,3223,685
Middle Atlantic,2019,8,1720,19,6221,1739
East North Central,2019,8,2661,59,9922,2720
West North Central,2019,8,1336,11,4521,1347
South Atlantic,2019,8,2076,107,9973,2183
East South Central,2019,8,360,21,2244,381
West South Central,2019,8,2260,123,7934,2383
Mountain,2019,8,1431,108,5103,1539
Pacific,2019,8,1187,22,4920,1209
New England,2019,9,567,20,2903,587
Middle Atlantic,2019,9,1369,20,5951,1389
East North Central,2019,9,3154,79,10580,3233
West North Central,2019,9,1399,18,4530,1417
South Atlantic,2019,9,1661,73,9183,1734
East South Central,2019,9,309,15,2160,324
West South Central,2019,9,2073,137,7527,2210
Mountain,2019,9,1539,67,5237,1606
Pacific,2019,9,1365,12,5150,1377
New England,2019,10,475,20,2611,495
Middle Atlantic,2019,10,1290,22,5962,1312
East North Central,2019,10,3847,101,12071,3948
West North Central,2019,10,1342,14,4916,1356
South Atlantic,2019,10,1322,87,8501,1409
East South Central,2019,10,219,16,1758,235
West South Central,2019,10,1824,136,7246,1960
Mountain,2019,10,1231,26,4657,1257
Pacific,2019,10,1649,16,5534,1665
New England,2019,11,480,46,2704,526
Middle Atlantic,2019,11,1354,22,5907,1376
East North Central,2019,11,4288,142,13284,4430
West North Central,2019,11,1374,34,4693,1408
South Atlantic,2019,11,1290,94,8304,1384
East South Central,2019,11,206,18,1835,224
West South Central,2019,11,1278,126,5845,1404
Mountain,2019,11,1021,48,4069,1069
Pacific,2019,11,2085,39,6723,2124
New England,2019,12,465,90,2631,555
Middle Atlantic,2019,12,1105,34,5735,1139
East North Central,2019,12,3463,175,12261,3638
West North Central,2019,12,917,16,3766,933
South Atlantic,2019,12,1072,122,7788,1194
East South Central,2019,12,108,11,1526,119
West South Central,2019,12,633,101,4710,734
Mountain,2019,12,736,37,3873,773
Pacific,2019,12,1837,37,6459,1874
New England,2019,13,417,110,2638,527
Middle Atlantic,2019,13,999,24,5422,1023
East North Central,2019,13,2874,199,11287,3073
West North Central,2019,13,665,24,3598,689
South Atlantic,2019,13,710,55,5846,765
East South Central,2019,13,123,10,1503,133
West South Central,2019,13,392,123,3958,515
Mountain,2019,13,384,34,3164,418
Pacific,2019,13,1108,19,5426,1127
New England,2019,14,380,139,2443,519
Middle Atlantic,2019,14,499,29,4141,528
East North Central,2019,14,1834,177,9191,2011
West North Central,2019,14,396,18,3146,414
South Atlantic,2019,14,670,93,6536,763
East South Central,2019,14,88,11,1355,99
West South Central,2019,14,229,80,3425,309
Mountain,2019,14,221,19,2362,240
Pacific,2019,14,575,31,4136,606
New England,2019,15,316,172,2445,488
Middle Atlantic,2019,15,581,41,4671,622
East North Central,2019,15,1182,152,7896,1334
West North Central,2019,15,253,15,2675,268
South Atlantic,2019,15,294,48,4692,342
East South Central,2019,15,27,3,1125,30
West South Central,2019,15,167,98,2919,265
Mountain,2019,15,145,18,2134,163
Pacific,2019,15,246,20,3166,266
New England,2019,16,150,129,1999,279
Middle Atlantic,2019,16,328,32,3958,360
East North Central,2019,16,634,98,6208,732
West North Central,2019,16,116,26,2249,142
South Atlantic,2019,16,263,95,5039,358
East South Central,2019,16,21,7,1001,28
West South Central,2019,16,105,90,2421,195
Mountain,2019,16,128,25,2247,153
Pacific,2019,16,148,16,2877,164
New England,2019,17,69,85,1638,154
Middle Atlantic,2019,17,139,30,3288,169
East North Central,2019,17,304,112,5262,416
West North Central,2019,17,58,17,1833,75
South Atlantic,2019,17,200,74,4789,274
East South Central,2019,17,22,1,961,23
West South Central,2019,17,62,64,2375,126
Mountain,2019,17,95,15,2052,110
Pacific,2019,17,82,15,2513,97
New England,2019,18,35,44,1442,79
Middle Atlantic,2019,18,38,11,2318,49
East North Central,2019,18,174,81,4308,255
West North Central,2019,18,46,11,1273,57
South Atlantic,2019,18,159,65,4273,224
East South Central,2019,18,16,4,757,20
West South Central,2019,18,43,84,2038,127
Mountain,2019,18,68,13,1859,81
Pacific,2019,18,55,25,1899,80
New England,2019,19,28,35,1151,63
Middle Atlantic,2019,19,34,5,1811,39
East North Central,2019,19,84,62,3616,146
West North Central,2019,19,17,11,1286,28
South Atlantic,2019,19,110,74,3839,184
East South Central,2019,19,6,12,822,18
West South Central,2019,19,46,60,1888,106
Mountain,2019,19,34,13,1633,47
Pacific,2019,19,45,5,1689,50
New England,2019,20,12,29,1160,41
Middle Atlantic,2019,20,22,5,1946,27
East North Central,2019,20,59,60,3328,119
West North Central,2019,20,27,15,1396,42
South Atlantic,2019,20,129,87,3738,216
East South Central,2019,20,3,7,840,10
West South Central,2019,20,25,48,1713,73
Mountain,2019,20,35,8,1461,43
Pacific,2019,20,21,10,1416,31
New England,2019,21,6,20,1034,26
Middle Atlantic,2019,21,20,5,1804,25
East North Central,2019,21,35,45,2794,80
West North Central,2019,21,14,12,1259,26
South Atlantic,2019,21,115,96,3669,211
East South Central,2019,21,5,4,732,9
West South Central,2019,21,28,50,1589,78
Mountain,2019,21,24,12,1379,36
Pacific,2019,21,29,16,1414,45
New England,2019,22,5,14,818,19
Middle Atlantic,2019,22,23,4,1775,27
East North Central,2019,22,19,35,2637,54
West North Central,2019,22,6,7,1111,13
South Atlantic,2019,22,103,100,3438,203
East South Central,2019,22,2,6,558,8
West South Central,2019,22,10,33,1453,43
Mountain,2019,22,25,10,1260,35
Pacific,2019,22,19,22,1321,41
New England,2019,23,4,8,719,12
Middle Atlantic,2019,23,9,0,1517,9
East North Central,2019,23,10,30,2329,40
West North Central,2019,23,3,11,1034,14
South Atlantic,2019,23,61,97,2901,158
East South Central,2019,23,6,4,616,10
West South Central,2019,23,8,33,1258,41
Mountain,2019,23,23,6,1109,29
Pacific,2019,23,20,19,1134,39
New England,2019,24,6,5,683,11
Middle Atlantic,2019,24,6,2,1388,8
East North Central,2019,24,10,13,1973,23
West North Central,2019,24,2,0,885,2
South Atlantic,2019,24,66,74,2652,140
East South Central,2019,24,3,1,530,4
West South Central,2019,24,5,13,1309,18
Mountain,2019,24,15,5,836,20
Pacific,2019,24,16,22,1144,38
New England,2019,25,5,1,594,6
Middle Atlantic,2019,25,8,0,1456,8
East North Central,2019,25,7,8,1691,15
West North Central,2019,25,2,2,786,4
South Atlantic,2019,25,61,54,2391,115
East South Central,2019,25,3,3,474,6
West South Central,2019,25,6,8,1171,14
Mountain,2019,25,10,5,964,15
Pacific,2019,25,7,9,936,16
New England,2019,26,5,2,373,7
Middle Atlantic,2019,26,2,0,1289,2
East North Central,2019,26,14,8,1592,22
West North Central,2019,26,3,1,476,4
South Atlantic,2019,26,42,54,2139,96
East South Central,2019,26,2,5,528,7
West South Central,2019,26,12,13,1029,25
Mountain,2019,26,5,2,851,7
Pacific,2019,26,8,12,855,20
New England,2019,27,8,0,426,8
Middle Atlantic,2019,27,3,0,1202,3
East North Central,2019,27,16,3,1399,19
West North Central,2019,27,4,1,673,5
South Atlantic,2019,27,62,57,2164,119
East South Central,2019,27,2,2,506,4
West South Central,2019,27,6,6,899,12
Mountain,2019,27,18,5,755,23
Pacific,2019,27,10,12,828,22
New England,2019,28,3,0,458,3
Middle Atlantic,2019,28,5,0,1256,5
East North Central,2019,28,3,2,1330,5
West North Central,2019,28,0,1,739,1
South Atlantic,2019,28,58,54,2201,112
East South Central,2019,28,6,2,537,8
West South Central,2019,28,8,2,929,10
Mountain,2019,28,6,2,761,8
Pacific,2019,28,13,18,864,31
New England,2019,29,2,0,396,2
Middle Atlantic,2019,29,8,1,1195,9
East North Central,2019,29,12,3,1293,15
West North Central,2019,29,5,0,714,5
South Atlantic,2019,29,51,60,2091,111
East South Central,2019,29,2,2,288,4
West South Central,2019,29,14,3,887,17
Mountain,2019,29,4,1,707,5
Pacific,2019,29,7,10,768,17
New England,2019,30,4,0,379,4
Middle Atlantic,2019,30,6,0,1068,6
East North Central,2019,30,4,1,1201,5
West North Central,2019,30,4,0,639,4
South Atlantic,2019,30,53,68,2092,121
East South Central,2019,30,2,1,335,3
West South Central,2019,30,13,4,863,17
Mountain,2019,30,11,4,678,15
Pacific,2019,30,7,7,696,14
New England,2019,31,5,0,330,5
Middle Atlantic,2019,31,3,1,1094,4
East North Central,2019,31,11,0,1197,11
West North Central,2019,31,2,1,636,3
South Atlantic,2019,31,58,60,1899,118
East South Central,2019,31,3,3,466,6
West South Central,2019,31,10,7,864,17
Mountain,2019,31,5,2,629,7
Pacific,2019,31,7,11,766,18
New England,2019,32,0,2,354,2
Middle Atlantic,2019,32,4,1,1136,5
East North Central,2019,32,2,0,1341,2
West North Central,2019,32,1,0,657,1
South Atlantic,2019,32,58,66,2094,124
East South Central,2019,32,2,6,395,8
West South Central,2019,32,2,4,840,6
Mountain,2019,32,3,0,625,3
Pacific,2019,32,7,8,638,15
New England,2019,33,1,2,388,3
Middle Atlantic,2019,33,5,1,1170,6
East North Central,2019,33,1,1,1224,2
West North Central,2019,33,2,1,671,3
South Atlantic,2019,33,46,65,2079,111
East South Central,2019,33,1,11,477,12
West South Central,2019,33,3,5,886,8
Mountain,2019,33,10,2,668,12
Pacific,2019,33,9,7,747,16
New England,2019,34,0,1,349,1
Middle Atlantic,2019,34,10,1,1071,11
East North Central,2019,34,8,1,1288,9
West North Central,2019,34,4,0,721,4
South Atlantic,2019,34,61,74,2392,135
East South Central,2019,34,0,27,606,27
West South Central,2019,34,2,11,1014,13
Mountain,2019,34,4,0,750,4
Pacific,2019,34,5,1,701,6
New England,2019,35,3,0,405,3
Middle Atlantic,2019,35,9,2,1166,11
East North Central,2019,35,9,3,1451,12
West North Central,2019,35,4,1,875,5
South Atlantic,2019,35,90,159,3035,249
East South Central,2019,35,0,41,745,41
West South Central,2019,35,6,7,1213,13
Mountain,2019,35,7,3,736,10
Pacific,2019,35,14,5,880,19
New England,2019,36,6,0,463,6
Middle Atlantic,2019,36,11,0,1249,11
East North Central,2019,36,17,1,1738,18
West North Central,2019,36,1,0,904,1
South Atlantic,2019,36,77,158,3275,235
East South Central,2019,36,0,49,818,49
West South Central,2019,36,12,10,1515,22
Mountain,2019,36,6,3,1006,9
Pacific,2019,36,6,9,848,15
New England,2019,37,10,0,722,10
Middle Atlantic,2019,37,13,1,1537,14
East North Central,2019,37,43,3,2320,46
West North Central,2019,37,2,0,1086,2
South Atlantic,2019,37,56,128,3217,184
East South Central,2019,37,5,32,864,37
West South Central,2019,37,5,12,1602,17
Mountain,2019,37,7,1,955,8
Pacific,2019,37,11,3,1063,14
New England,2019,38,10,2,826,12
Middle Atlantic,2019,38,13,2,1825,15
East North Central,2019,38,29,6,2792,35
West North Central,2019,38,4,2,1155,6
South Atlantic,2019,38,78,190,3614,268
East South Central,2019,38,0,19,901,19
West South Central,2019,38,12,20,1653,32
Mountain,2019,38,5,2,1034,7
Pacific,2019,38,11,10,1255,21
New England,2019,39,6,1,1091,7
Middle Atlantic,2019,39,11,2,2026,13
East North Central,2019,39,23,7,3117,30
West North Central,2019,39,2,2,1296,4
South Atlantic,2019,39,73,247,4100,320
East South Central,2019,39,2,24,971,26
West South Central,2019,39,9,33,1776,42
Mountain,2019,39,7,1,1243,8
Pacific,2019,39,20,6,1729,26
New England,2019,40,3,1,1071,4
Middle Atlantic,2019,40,7,0,1924,7
East North Central,2019,40,12,7,3550,19
West North Central,2019,40,2,3,1511,5
South Atlantic,2019,40,32,27,3092,59
East South Central,2019,40,3,14,979,17
West South Central,2019,40,23,46,2446,69
Mountain,2019,40,13,3,1520,16
Pacific,2019,40,41,23,3758,64
New England,2019,41,8,2,1192,10
Middle Atlantic,2019,41,7,5,2166,12
East North Central,2019,41,13,5,3794,18
West North Central,2019,41,8,1,1778,9
South Atlantic,2019,41,33,49,3292,82
East South Central,2019,41,4,15,1018,19
West South Central,2019,41,17,73,3016,90
Mountain,2019,41,14,12,1541,26
Pacific,2019,41,42,19,4316,61
New England,2019,42,5,0,1170,5
Middle Atlantic,2019,42,7,4,2348,11
East North Central,2019,42,11,8,4029,19
West North Central,2019,42,2,6,1963,8
South Atlantic,2019,42,46,26,3518,72
East South Central,2019,42,3,8,1091,11
West South Central,2019,42,26,95,3036,121
Mountain,2019,42,15,13,1726,28
Pacific,2019,42,57,27,4250,84
New England,2019,43,9,3,1315,12
Middle Atlantic,2019,43,19,7,2404,26
East North Central,2019,43,19,18,4710,37
West North Central,2019,43,4,12,2008,16
South Atlantic,2019,43,51,67,3884,118
East South Central,2019,43,1,18,1168,19
West South Central,2019,43,33,169,3440,202
Mountain,2019,43,25,11,1468,36
Pacific,2019,43,40,49,4233,89
New England,2019,44,4,2,1280,6
Middle Atlantic,2019,44,24,8,2549,32
East North Central,2019,44,16,18,4761,34
West North Central,2019,44,5,15,2040,20
South Atlantic,2019,44,46,73,3945,119
East South Central,2019,44,5,20,1189,25
West South Central,2019,44,42,322,3526,364
Mountain,2019,44,16,13,1740,29
Pacific,2019,44,63,85,4387,148
New England,2019,45,5,4,1366,9
Middle Atlantic,2019,45,28,18,2795,46
East North Central,2019,45,30,16,5275,46
West North Central,2019,45,9,42,1682,51
South Atlantic,2019,45,64,123,4535,187
East South Central,2019,45,11,18,1436,29
West South Central,2019,45,83,623,4658,706
Mountain,2019,45,33,43,1944,76
Pacific,2019,45,151,188,5151,339
New England,2019,46,7,5,1583,12
Middle Atlantic,2019,46,29,29,2869,58
East North Central,2019,46,42,48,5320,90
West North Central,2019,46,26,53,1767,79
South Atlantic,2019,46,72,211,5253,283
East South Central,2019,46,34,30,1526,64
West South Central,2019,46,108,764,5351,872
Mountain,2019,46,51,74,2206,125
Pacific,2019,46,166,375,5564,541
New England,2019,47,18,9,1694,27
Middle Atlantic,2019,47,51,37,3025,88
East North Central,2019,47,96,112,6057,208
West North Central,2019,47,68,80,2829,148
South Atlantic,2019,47,168,377,5750,545
East South Central,2019,47,54,80,1831,134
West South Central,2019,47,202,1298,6918,1500
Mountain,2019,47,76,116,2486,192
Pacific,2019,47,170,472,5907,642
New England,2019,48,46,19,1670,65
Middle Atlantic,2019,48,96,75,3075,171
East North Central,2019,48,102,212,6246,314
West North Central,2019,48,74,110,2720,184
South Atlantic,2019,48,222,462,5848,684
East South Central,2019,48,69,97,1699,166
West South Central,2019,48,210,975,5750,1185
Mountain,2019,48,56,211,2396,267
Pacific,2019,48,204,632,5994,836
New England,2019,49,55,49,2073,104
Middle Atlantic,2019,49,118,119,3541,237
East North Central,2019,49,167,401,7808,568
West North Central,2019,49,86,169,3113,255
South Atlantic,2019,49,250,399,6138,649
East South Central,2019,49,77,108,2096,185
West South Central,2019,49,269,956,6490,1225
Mountain,2019,49,107,274,3037,381
Pacific,2019,49,297,986,7633,1283
New England,2019,50,86,71,2155,157
Middle Atlantic,2019,50,229,246,3951,475
East North Central,2019,50,262,778,8542,1040
West North Central,2019,50,153,387,3759,540
South Atlantic,2019,50,504,607,6928,1111
East South Central,2019,50,136,140,2189,276
West South Central,2019,50,329,975,5696,1304
Mountain,2019,50,80,326,2827,406
Pacific,2019,50,379,1567,8864,1946
New England,2019,51,140,164,2339,304
Middle Atlantic,2019,51,311,352,4673,663
East North Central,2019,51,539,1626,10879,2165
West North Central,2019,51,224,753,4562,977
South Atlantic,2019,51,801,843,7828,1644
East South Central,2019,51,255,222,2465,477
West South Central,2019,51,557,1688,7222,2245
Mountain,2019,51,240,645,4031,885
Pacific,2019,51,630,2286,10481,2916
New England,2019,52,294,297,3088,591
Middle Atlantic,2019,52,557,791,5556,1348
East North Central,2019,52,989,2739,13702,3728
West North Central,2019,52,407,1028,5291,1435
South Atlantic,2019,52,1369,1074,9625,2443
East South Central,2019,52,395,349,3087,744
West South Central,2019,52,945,2000,8056,2945
Mountain,2019,52,342,772,4463,1114
Pacific,2019,52,682,2214,11156,2896
New England,2020,1,357,466,3613,823
Middle Atlantic,2020,1,667,878,6678,1545
East North Central,2020,1,923,2385,14228,3308
West North Central,2020,1,386,795,5216,1181
South Atlantic,2020,1,940,735,8618,1675
East South Central,2020,1,296,231,2883,527
West South Central,2020,1,691,1366,7079,2057
Mountain,2020,1,442,907,5129,1349
Pacific,2020,1,943,1901,11733,2844
New England,2020,2,414,614,3978,1028
Middle Atlantic,2020,2,697,736,6445,1433
East North Central,2020,2,1036,1989,13336,3025
West North Central,2020,2,343,655,4805,998
South Atlantic,2020,2,889,555,7455,1444
East South Central,2020,2,203,146,2315,349
West South Central,2020,2,854,1007,6532,1861
Mountain,2020,2,546,707,4567,1253
Pacific,2020,2,1127,1519,11284,2646
New England,2020,3,506,833,4176,1339
Middle Atlantic,2020,3,798,750,6201,1548
East North Central,2020,3,1427,2080,12878,3507
West North Central,2020,3,389,770,4664,1159
South Atlantic,2020,3,956,512,7322,1468
East South Central,2020,3,183,114,1986,297
West South Central,2020,3,1259,920,6775,2179
Mountain,2020,3,699,765,5211,1464
Pacific,2020,3,1495,1276,11103,2771
New England,2020,4,575,1160,4872,1735
Middle Atlantic,2020,4,852,780,6242,1632
East North Central,2020,4,1898,2550,14287,4448
West North Central,2020,4,602,835,4932,1437
South Atlantic,2020,4,1005,571,7383,1576
East South Central,2020,4,210,143,2149,353
West South Central,2020,4,1499,708,7187,2207
Mountain,2020,4,927,788,5712,1715
Pacific,2020,4,1910,1229,11738,3139
New England,2020,5,807,1336,5581,2143
Middle Atlantic,2020,5,1082,931,6955,2013
East North Central,2020,5,2691,2989,16549,5680
West North Central,2020,5,857,871,5372,1728
South Atlantic,2020,5,1347,721,8639,2068
East South Central,2020,5,330,166,2524,496
West South Central,2020,5,2050,976,8905,3026
Mountain,2020,5,979,696,5873,1675
Pacific,2020,5,1959,985,11826,2944
New England,2020,6,902,1177,5607,2079
Middle Atlantic,2020,6,1051,855,6458,1906
East North Central,2020,6,3671,2831,17442,6502
West North Central,2020,6,1084,967,5857,2051
South Atlantic,2020,6,1333,925,9032,2258
East South Central,2020,6,374,189,2675,563
West South Central,2020,6,1787,602,8117,2389
Mountain,2020,6,1038,496,5642,1534
Pacific,2020,6,1720,745,11038,2465
New England,2020,7,821,912,4955,1733
Middle Atlantic,2020,7,1113,638,6383,1751
East North Central,2020,7,4004,2412,16925,6416
West North Central,2020,7,1368,829,6193,2197
South Atlantic,2020,7,1139,677,8206,1816
East South Central,2020,7,305,134,2522,439
West South Central,2020,7,1715,509,7626,2224
Mountain,2020,7,1061,420,5599,1481
Pacific,2020,7,1846,649,10848,2495
New England,2020,8,785,588,4465,1373
Middle Atlantic,2020,8,941,471,5775,1412
East North Central,2020,8,4258,2111,17248,6369
West North Central,2020,8,1361,701,5808,2062
South Atlantic,2020,8,914,461,7384,1375
East South Central,2020,8,234,123,2258,357
West South Central,2020,8,1694,430,7747,2124
Mountain,2020,8,952,334,4942,1286
Pacific,2020,8,1575,536,9585,2111
New England,2020,9,664,429,4096,1093
Middle Atlantic,2020,9,974,390,5951,1364
East North Central,2020,9,3829,1549,15978,5378
West North Central,2020,9,1294,582,5831,1876
South Atlantic,2020,9,853,312,6884,1165
East South Central,2020,9,202,98,2021,300
West South Central,2020,9,1261,269,6315,1530
Mountain,2020,9,911,253,4888,1164
Pacific,2020,9,1725,481,10463,2206
New England,2020,10,539,252,3693,791
Middle Atlantic,2020,10,817,235,5931,1052
East North Central,2020,10,3687,1226,16004,4913
West North Central,2020,10,985,367,4568,1352
South Atlantic,2020,10,934,310,7623,1244
East South Central,2020,10,238,85,2361,323
West South Central,2020,10,1148,292,6707,1440
Mountain,2020,10,949,180,5329,1129
Pacific,2020,10,1753,431,11933,2184
New England,2020,11,475,214,3792,689
Middle Atlantic,2020,11,652,183,6268,835
East North Central,2020,11,3161,949,18475,4110
West North Central,2020,11,886,351,6105,1237
South Atlantic,2020,11,856,279,9594,1135
East South Central,2020,11,228,97,2816,325
West South Central,2020,11,785,234,7122,1019
Mountain,2020,11,881,151,6730,1032
Pacific,2020,11,1153,232,13514,1385
New England,2020,12,201,100,3644,301
Middle Atlantic,2020,12,337,105,6305,442
East North Central,2020,12,1464,505,19352,1969
West North Central,2020,12,373,169,6140,542
South Atlantic,2020,12,506,135,10956,641
East South Central,2020,12,73,73,2845,146
West South Central,2020,12,247,89,5362,336
Mountain,2020,12,555,95,9323,650
Pacific,2020,12,375,81,9163,456
New England,2020,13,32,18,2284,50
Middle Atlantic,2020,13,56,15,4016,71
East North Central,2020,13,227,98,11177,325
West North Central,2020,13,63,17,2456,80
South Atlantic,2020,13,105,42,6895,147
East South Central,2020,13,23,23,2518,46
West South Central,2020,13,42,24,3108,66
Mountain,2020,13,110,20,6476,130
Pacific,2020,13,101,23,5824,124
New England,2020,14,13,11,2384,24
Middle Atlantic,2020,14,16,10,2335,26
East North Central,2020,14,44,40,8103,84
West North Central,2020,14,18,11,2532,29
South Atlantic,2020,14,34,16,4492,50
East South Central,2020,14,2,3,1459,5
West South Central,2020,14,8,13,1864,21
Mountain,2020,14,13,3,3382,16
Pacific,2020,14,48,15,4287,63
New England,2020,15,1,5,1570,6
Middle Atlantic,2020,15,0,1,1393,1
East North Central,2020,15,15,8,4299,23
West North Central,2020,15,4,1,1727,5
South Atlantic,2020,15,13,9,2860,22
East South Central,2020,15,4,2,1117,6
West South Central,2020,15,8,10,1420,18
Mountain,2020,15,1,2,2199,3
Pacific,2020,15,29,8,2987,37
New England,2020,16,7,12,1456,19
Middle Atlantic,2020,16,1,0,811,1
East North Central,2020,16,3,4,2986,7
West North Central,2020,16,6,2,1200,8
South Atlantic,2020,16,12,0,2003,12
East South Central,2020,16,0,1,787,1
West South Central,2020,16,1,4,1100,5
Mountain,2020,16,2,1,1903,3
Pacific,2020,16,26,8,2197,34
New England,2020,17,1,1,1237,2
Middle Atlantic,2020,17,1,0,587,1
East North Central,2020,17,4,4,2731,8
West North Central,2020,17,0,0,1047,0
South Atlantic,2020,17,4,0,1753,4
