region,year,week,total_a,total_b,total_specimens,total_cases
West North Central,2016,11,255,59,2386,314
South Atlantic,2016,11,872,297,5861,1169
East South Central,2016,11,145,52,1390,197
West South Central,2016,11,288,225,3136,513
Mountain,2016,11,535,240,3712,775
Pacific,2016,11,315,288,3653,603
New England,2016,12,398,128,2462,526
Middle Atlantic,2016,12,868,278,4878,1146
East North Central,2016,12,691,203,5163,894
West North Central,2016,12,208,43,2114,251
South Atlantic,2016,12,684,288,5170,972
East South Central,2016,12,142,43,1259,185
West South Central,2016,12,193,187,2626,380
Mountain,2016,12,472,219,3416,691
Pacific,2016,12,263,263,3073,526
New England,2016,13,352,141,2380,493
Middle Atlantic,2016,13,595,267,4418,862
East North Central,2016,13,510,154,4506,664
West North Central,2016,13,168,51,1983,219
South Atlantic,2016,13,448,272,4462,720
East South Central,2016,13,93,53,1295,146
West South Central,2016,13,214,197,2792,411
Mountain,2016,13,371,195,2955,566
Pacific,2016,13,214,184,2812,398
New England,2016,14,184,132,1964,316
Middle Atlantic,2016,14,343,236,3581,579
East North Central,2016,14,344,140,4054,484
West North Central,2016,14,101,53,1676,154
South Atlantic,2016,14,316,307,4386,623
East South Central,2016,14,69,44,995,113
West South Central,2016,14,203,178,2544,381
Mountain,2016,14,254,147,2194,401
Pacific,2016,14,157,153,2585,310
New England,2016,15,142,154,1743,296
Middle Atlantic,2016,15,250,263,3186,513
East North Central,2016,15,348,166,3524,514
West North Central,2016,15,97,58,1549,155
South Atlantic,2016,15,257,298,4127,555
East South Central,2016,15,41,46,903,87
West South Central,2016,15,128,181,2375,309
Mountain,2016,15,142,109,2046,251
Pacific,2016,15,101,89,2230,190
New England,2016,16,114,147,1602,261
Middle Atlantic,2016,16,186,290,2908,476
East North Central,2016,16,208,164,3020,372
West North Central,2016,16,54,63,1449,117
South Atlantic,2016,16,221,334,3940,555
East South Central,2016,16,43,46,888,89
West South Central,2016,16,128,120,2408,248
Mountain,2016,16,88,109,1750,197
Pacific,2016,16,81,56,1895,137
New England,2016,17,79,127,1354,206
Middle Atlantic,2016,17,103,231,2720,334
East North Central,2016,17,130,178,2673,308
West North Central,2016,17,29,50,1183,79
South Atlantic,2016,17,130,314,3751,444
East South Central,2016,17,13,32,752,45
West South Central,2016,17,103,105,2178,208
Mountain,2016,17,44,57,1455,101
Pacific,2016,17,70,49,1904,119
New England,2016,18,45,92,1139,137
Middle Atlantic,2016,18,59,179,2275,238
East North Central,2016,18,55,109,2217,164
West North Central,2016,18,17,21,1051,38
South Atlantic,2016,18,73,234,3130,307
East South Central,2016,18,19,28,722,47
West South Central,2016,18,70,84,1951,154
Mountain,2016,18,44,38,1226,82
Pacific,2016,18,45,37,1669,82
New England,2016,19,27,86,1028,113
Middle Atlantic,2016,19,34,122,2040,156
East North Central,2016,19,29,97,1947,126
West North Central,2016,19,7,17,962,24
South Atlantic,2016,19,59,211,3011,270
East South Central,2016,19,11,20,641,31
West South Central,2016,19,65,69,1919,134
Mountain,2016,19,17,19,1140,36
Pacific,2016,19,31,21,1402,52
New England,2016,20,13,70,851,83
Middle Atlantic,2016,20,23,85,1844,108
East North Central,2016,20,20,69,1636,89
West North Central,2016,20,9,7,873,16
South Atlantic,2016,20,49,151,2618,200
East South Central,2016,20,9,22,599,31
West South Central,2016,20,71,65,1783,136
Mountain,2016,20,11,21,1028,32
Pacific,2016,20,19,15,1313,34
New England,2016,21,5,35,701,40
Middle Atlantic,2016,21,9,72,1576,81
East North Central,2016,21,11,40,1489,51
West North Central,2016,21,3,8,809,11
South Atlantic,2016,21,56,157,2637,213
East South Central,2016,21,3,14,536,17
West South Central,2016,21,35,50,1697,85
Mountain,2016,21,8,14,947,22
Pacific,2016,21,9,18,1199,27
New England,2016,22,3,9,521,12
Middle Atlantic,2016,22,8,30,1481,38
East North Central,2016,22,2,17,1118,19
West North Central,2016,22,3,9,731,12
South Atlantic,2016,22,29,100,2287,129
East South Central,2016,22,3,10,452,13
West South Central,2016,22,25,39,1536,64
Mountain,2016,22,0,5,836,5
Pacific,2016,22,9,7,1105,16
New England,2016,23,0,7,391,7
Middle Atlantic,2016,23,4,11,1389,15
East North Central,2016,23,1,12,1073,13
West North Central,2016,23,5,3,693,8
South Atlantic,2016,23,18,116,2083,134
East South Central,2016,23,0,2,354,2
West South Central,2016,23,29,39,1515,68
Mountain,2016,23,3,4,630,7
Pacific,2016,23,10,13,1044,23
New England,2016,24,3,2,367,5
Middle Atlantic,2016,24,8,10,1232,18
East North Central,2016,24,2,3,1058,5
West North Central,2016,24,2,0,604,2
South Atlantic,2016,24,18,51,1752,69
East South Central,2016,24,2,5,333,7
West South Central,2016,24,14,20,1361,34
Mountain,2016,24,1,0,656,1
Pacific,2016,24,9,3,1001,12
New England,2016,25,1,2,296,3
Middle Atlantic,2016,25,2,8,1146,10
East North Central,2016,25,2,2,929,4
West North Central,2016,25,1,2,509,3
South Atlantic,2016,25,16,48,1541,64
East South Central,2016,25,1,2,358,3
West South Central,2016,25,15,15,1136,30
Mountain,2016,25,2,1,534,3
Pacific,2016,25,4,3,968,7
New England,2016,26,1,0,268,1
Middle Atlantic,2016,26,1,4,1021,5
East North Central,2016,26,1,2,728,3
West North Central,2016,26,0,1,513,1
South Atlantic,2016,26,13,27,1224,40
East South Central,2016,26,0,1,276,1
West South Central,2016,26,3,12,816,15
Mountain,2016,26,2,0,596,2
Pacific,2016,26,5,4,856,9
New England,2016,27,1,0,246,1
Middle Atlantic,2016,27,2,1,840,3
East North Central,2016,27,0,1,734,1
West North Central,2016,27,0,3,473,3
South Atlantic,2016,27,12,20,1247,32
East South Central,2016,27,1,0,260,1
West South Central,2016,27,4,4,972,8
Mountain,2016,27,2,0,560,2
Pacific,2016,27,2,1,646,3
New England,2016,28,0,0,228,0
Middle Atlantic,2016,28,2,2,945,4
East North Central,2016,28,1,1,860,2
West North Central,2016,28,1,1,507,2
South Atlantic,2016,28,10,9,1169,19
East South Central,2016,28,1,0,261,1
West South Central,2016,28,6,11,915,17
Mountain,2016,28,1,1,562,2
Pacific,2016,28,2,6,881,8
New England,2016,29,1,1,95,2
Middle Atlantic,2016,29,0,3,878,3
East North Central,2016,29,1,0,694,1
West North Central,2016,29,2,1,453,3
South Atlantic,2016,29,6,17,1197,23
East South Central,2016,29,1,0,250,1
West South Central,2016,29,2,3,841,5
Mountain,2016,29,3,1,557,4
Pacific,2016,29,8,0,923,8
New England,2016,30,0,0,112,0
Middle Atlantic,2016,30,1,0,885,1
East North Central,2016,30,2,0,694,2
West North Central,2016,30,0,0,492,0
South Atlantic,2016,30,8,16,1149,24
East South Central,2016,30,2,0,265,2
West South Central,2016,30,4,7,830,11
Mountain,2016,30,0,0,539,0
Pacific,2016,30,3,2,790,5
New England,2016,31,0,1,203,1
Middle Atlantic,2016,31,1,0,831,1
East North Central,2016,31,4,1,729,5
West North Central,2016,31,3,0,474,3
South Atlantic,2016,31,11,11,1142,22
East South Central,2016,31,1,0,239,1
West South Central,2016,31,5,6,739,11
