region,year,week,total_a,total_b,total_specimens,total_cases
Alabama,2015,40,2,3,167,5
Arizona,2015,40,0,0,55,0
Arkansas,2015,40,0,1,26,1
California,2015,40,2,0,683,2
Colorado,2015,40,0,1,255,1
Connecticut,2015,40,1,0,304,1
Delaware,2015,40,0,0,22,0
Florida,2015,40,14,6,1068,20
Georgia,2015,40,6,5,518,11
Idaho,2015,40,0,0,11,0
Illinois,2015,40,3,0,266,3
Indiana,2015,40,0,0,97,0
Iowa,2015,40,0,0,61,0
Kansas,2015,40,2,1,90,3
Kentucky,2015,40,1,0,205,1
Louisiana,2015,40,1,2,306,3
Maryland,2015,40,0,0,27,0
Massachusetts,2015,40,1,2,259,3
Michigan,2015,40,9,0,492,9
Minnesota,2015,40,1,0,220,1
Mississippi,2015,40,1,0,140,1
Missouri,2015,40,0,0,432,0
Montana,2015,40,0,0,91,0
Nebraska,2015,40,0,0,38,0
New Hampshire,2015,40,0,0,21,0
New Mexico,2015,40,0,0,182,0
New York,2015,40,4,0,1095,4
North Carolina,2015,40,0,1,133,1
Ohio,2015,40,0,2,382,2
Oklahoma,2015,40,1,0,131,1
Oregon,2015,40,0,0,139,0
Pennsylvania,2015,40,0,1,364,1
South Carolina,2015,40,0,0,152,0
South Dakota,2015,40,0,0,134,0
Tennessee,2015,40,0,1,103,1
Texas,2015,40,6,13,1129,19
Utah,2015,40,0,0,335,0
Vermont,2015,40,0,1,91,1
Virginia,2015,40,0,0,156,0
Washington,2015,40,3,0,245,3
West Virginia,2015,40,0,0,327,0
Wisconsin,2015,40,1,1,681,2
Alabama,2015,41,2,1,167,3
Arizona,2015,41,0,0,71,0
Arkansas,2015,41,1,0,36,1
California,2015,41,3,2,661,5
Colorado,2015,41,2,0,281,2
Connecticut,2015,41,10,3,347,13
Delaware,2015,41,0,0,41,0
Florida,2015,41,33,7,1282,40
Georgia,2015,41,0,2,483,2
Illinois,2015,41,3,0,271,3
Indiana,2015,41,1,1,96,2
Iowa,2015,41,1,0,55,1
Kansas,2015,41,2,1,93,3
Kentucky,2015,41,0,0,231,0
Louisiana,2015,41,2,1,389,3
Maryland,2015,41,0,0,46,0
Massachusetts,2015,41,1,1,256,2
Michigan,2015,41,8,2,534,10
Minnesota,2015,41,2,0,243,2
Mississippi,2015,41,2,0,147,2
Missouri,2015,41,2,2,487,4
Montana,2015,41,0,0,72,0
Nebraska,2015,41,0,2,55,2
Nevada,2015,41,0,0,12,0
New Hampshire,2015,41,0,0,23,0
New Mexico,2015,41,0,0,218,0
New York,2015,41,4,2,1239,6
North Carolina,2015,41,0,2,146,2
Ohio,2015,41,1,1,620,2
Oklahoma,2015,41,0,0,159,0
Oregon,2015,41,1,0,117,1
Pennsylvania,2015,41,1,1,463,2
South Carolina,2015,41,0,0,183,0
South Dakota,2015,41,0,0,109,0
Tennessee,2015,41,1,2,120,3
Texas,2015,41,7,15,1150,22
Utah,2015,41,0,0,362,0
Vermont,2015,41,0,0,110,0
Virginia,2015,41,1,0,174,1
Washington,2015,41,4,0,239,4
West Virginia,2015,41,0,3,373,3
Wisconsin,2015,41,0,2,593,2
Wyoming,2015,41,1,0,15,1
Alabama,2015,42,4,1,193,5
Arizona,2015,42,0,0,74,0
Arkansas,2015,42,0,0,40,0
California,2015,42,2,0,609,2
Colorado,2015,42,1,1,281,2
Connecticut,2015,42,4,2,313,6
Delaware,2015,42,1,0,46,1
Florida,2015,42,47,8,1355,55
Georgia,2015,42,2,3,503,5
Idaho,2015,42,0,0,22,0
Illinois,2015,42,3,3,275,6
Indiana,2015,42,0,0,76,0
Iowa,2015,42,3,0,93,3
Kansas,2015,42,2,0,69,2
Kentucky,2015,42,1,0,234,1
Louisiana,2015,42,1,0,407,1
Maryland,2015,42,0,0,62,0
Massachusetts,2015,42,0,1,244,1
Michigan,2015,42,0,0,541,0
Minnesota,2015,42,1,1,262,2
Mississippi,2015,42,1,0,148,1
Missouri,2015,42,1,0,502,1
Montana,2015,42,0,0,68,0
Nebraska,2015,42,0,0,60,0
New Hampshire,2015,42,0,0,10,0
New Mexico,2015,42,0,0,235,0
New York,2015,42,1,2,1262,3
North Carolina,2015,42,1,0,158,1
North Dakota,2015,42,0,0,12,0
Ohio,2015,42,0,4,682,4
Oklahoma,2015,42,1,1,171,2
Oregon,2015,42,0,0,142,0
Pennsylvania,2015,42,3,1,441,4
South Carolina,2015,42,3,0,219,3
South Dakota,2015,42,0,0,139,0
Tennessee,2015,42,2,1,171,3
Texas,2015,42,4,14,1084,18
Utah,2015,42,1,1,362,2
Vermont,2015,42,0,0,118,0
Virginia,2015,42,0,0,55,0
Washington,2015,42,1,0,223,1
West Virginia,2015,42,1,8,409,9
Wisconsin,2015,42,1,0,648,1
Wyoming,2015,42,0,0,14,0
Alabama,2015,43,3,4,164,7
Arizona,2015,43,0,0,64,0
Arkansas,2015,43,0,0,33,0
California,2015,43,0,0,677,0
Colorado,2015,43,0,1,332,1
Connecticut,2015,43,0,0,335,0
Delaware,2015,43,0,0,31,0
Florida,2015,43,37,15,1262,52
Georgia,2015,43,3,5,511,8
Idaho,2015,43,0,0,18,0
Illinois,2015,43,8,5,366,13
Indiana,2015,43,0,0,84,0
Iowa,2015,43,3,0,105,3
Kansas,2015,43,1,2,97,3
Kentucky,2015,43,0,0,229,0
Louisiana,2015,43,2,1,293,3
Massachusetts,2015,43,0,1,231,1
Michigan,2015,43,0,0,541,0
Minnesota,2015,43,1,0,242,1
Mississippi,2015,43,2,0,177,2
Missouri,2015,43,0,2,486,2
Montana,2015,43,0,0,61,0
Nebraska,2015,43,0,1,54,1
New Hampshire,2015,43,0,0,23,0
New Mexico,2015,43,1,0,208,1
New York,2015,43,6,3,1284,9
North Carolina,2015,43,1,0,147,1
North Dakota,2015,43,0,0,19,0
Ohio,2015,43,3,1,781,4
Oklahoma,2015,43,1,0,147,1
Oregon,2015,43,0,1,164,1
Pennsylvania,2015,43,1,2,412,3
South Carolina,2015,43,1,1,241,2
South Dakota,2015,43,0,0,130,0
Tennessee,2015,43,0,1,155,1
Texas,2015,43,16,4,1093,20
Utah,2015,43,1,0,386,1
Vermont,2015,43,0,0,98,0
Virginia,2015,43,0,0,165,0
Washington,2015,43,1,0,277,1
West Virginia,2015,43,0,1,418,1
Wisconsin,2015,43,1,0,580,1
Wyoming,2015,43,0,0,15,0
Alabama,2015,44,2,3,254,5
Arizona,2015,44,1,0,96,1
Arkansas,2015,44,2,0,47,2
California,2015,44,9,0,811,9
Colorado,2015,44,0,0,384,0
Connecticut,2015,44,0,0,346,0
Delaware,2015,44,0,0,48,0
Florida,2015,44,39,16,1334,55
Georgia,2015,44,3,5,657,8
Idaho,2015,44,0,1,17,1
Illinois,2015,44,5,3,380,8
Indiana,2015,44,0,0,103,0
Iowa,2015,44,1,0,91,1
Kansas,2015,44,1,3,115,4
Kentucky,2015,44,0,0,265,0
Louisiana,2015,44,1,1,318,2
Massachusetts,2015,44,0,0,273,0
Michigan,2015,44,3,0,558,3
Minnesota,2015,44,0,1,314,1
Mississippi,2015,44,1,0,165,1
Missouri,2015,44,0,0,498,0
Montana,2015,44,1,0,85,1
Nebraska,2015,44,0,1,79,1
Nevada,2015,44,0,0,10,0
New Hampshire,2015,44,0,0,14,0
New Mexico,2015,44,2,0,229,2
New York,2015,44,4,2,1236,6
North Carolina,2015,44,0,0,152,0
Ohio,2015,44,5,6,744,11
Oklahoma,2015,44,0,0,174,0
Oregon,2015,44,0,0,159,0
Pennsylvania,2015,44,2,1,490,3
South Carolina,2015,44,0,1,288,1
South Dakota,2015,44,0,0,108,0
Tennessee,2015,44,0,8,230,8
Texas,2015,44,11,6,1217,17
Utah,2015,44,0,1,417,1
Vermont,2015,44,0,1,118,1
Virginia,2015,44,0,0,137,0
Washington,2015,44,1,0,293,1
West Virginia,2015,44,0,5,488,5
Wisconsin,2015,44,0,0,546,0
Wyoming,2015,44,0,0,28,0
Alabama,2015,45,3,3,250,6
Arizona,2015,45,0,0,89,0
Arkansas,2015,45,0,0,33,0
California,2015,45,6,3,873,9
Colorado,2015,45,1,0,391,1
Connecticut,2015,45,1,0,298,1
Delaware,2015,45,0,0,63,0
Florida,2015,45,41,31,1478,72
Georgia,2015,45,7,18,652,25
Idaho,2015,45,0,0,32,0
Illinois,2015,45,17,1,375,18
Indiana,2015,45,0,0,102,0
Iowa,2015,45,0,0,58,0
Kansas,2015,45,1,0,104,1
Kentucky,2015,45,0,0,217,0
Louisiana,2015,45,4,0,438,4
Maryland,2015,45,0,0,15,0
Massachusetts,2015,45,1,1,218,2
Michigan,2015,45,2,1,553,3
Minnesota,2015,45,0,0,257,0
Mississippi,2015,45,5,1,176,6
Missouri,2015,45,0,0,482,0
Montana,2015,45,0,0,68,0
Nebraska,2015,45,0,0,71,0
Nevada,2015,45,1,0,11,1
New Hampshire,2015,45,0,0,25,0
New Mexico,2015,45,0,0,250,0
New York,2015,45,2,2,1322,4
North Carolina,2015,45,0,0,175,0
North Dakota,2015,45,0,0,15,0
Ohio,2015,45,4,1,715,5
Oklahoma,2015,45,0,0,190,0
Oregon,2015,45,0,0,160,0
Pennsylvania,2015,45,2,0,463,2
South Carolina,2015,45,1,0,255,1
South Dakota,2015,45,0,0,132,0
Tennessee,2015,45,0,6,198,6
Texas,2015,45,16,15,1343,31
Utah,2015,45,0,0,476,0
Vermont,2015,45,0,0,107,0
Virginia,2015,45,1,0,220,1
Washington,2015,45,0,1,264,1
West Virginia,2015,45,0,0,442,0
Wisconsin,2015,45,0,0,621,0
Wyoming,2015,45,1,0,20,1
Alabama,2015,46,4,1,279,5
Arizona,2015,46,0,0,104,0
Arkansas,2015,46,0,0,44,0
California,2015,46,4,2,943,6
Colorado,2015,46,0,0,385,0
Connecticut,2015,46,1,1,359,2
Delaware,2015,46,0,0,62,0
Florida,2015,46,22,24,1056,46
Georgia,2015,46,5,21,836,26
Idaho,2015,46,0,0,19,0
Illinois,2015,46,7,4,364,11
Indiana,2015,46,0,0,120,0
Iowa,2015,46,0,0,67,0
Kansas,2015,46,2,3,93,5
Kentucky,2015,46,0,2,261,2
Louisiana,2015,46,4,0,450,4
Massachusetts,2015,46,0,0,263,0
Michigan,2015,46,4,1,582,5
Minnesota,2015,46,0,0,276,0
Mississippi,2015,46,1,0,209,1
Missouri,2015,46,0,1,480,1
Montana,2015,46,0,0,61,0
Nebraska,2015,46,0,0,49,0
New Hampshire,2015,46,0,0,18,0
New Mexico,2015,46,0,0,265,0
New York,2015,46,1,2,1330,3
North Carolina,2015,46,3,1,175,4
North Dakota,2015,46,0,0,14,0
Ohio,2015,46,3,3,819,6
Oklahoma,2015,46,0,0,217,0
Oregon,2015,46,0,0,226,0
Pennsylvania,2015,46,1,3,506,4
South Carolina,2015,46,1,4,321,5
South Dakota,2015,46,0,0,106,0
Tennessee,2015,46,0,3,256,3
Texas,2015,46,16,17,1140,33
Utah,2015,46,0,0,456,0
Vermont,2015,46,0,0,106,0
Virginia,2015,46,0,0,205,0
Washington,2015,46,0,1,299,1
West Virginia,2015,46,1,3,457,4
Wisconsin,2015,46,1,0,574,1
Wyoming,2015,46,0,0,16,0
Alabama,2015,47,0,3,271,3
Arizona,2015,47,1,0,97,1
Arkansas,2015,47,1,0,40,1
California,2015,47,4,1,858,5
Colorado,2015,47,2,0,418,2
Connecticut,2015,47,0,0,353,0
Delaware,2015,47,0,1,64,1
Florida,2015,47,68,47,1514,115
Georgia,2015,47,2,2,738,4
Idaho,2015,47,1,0,26,1
Illinois,2015,47,4,2,300,6
Indiana,2015,47,0,0,126,0
Iowa,2015,47,0,0,62,0
Kansas,2015,47,0,1,95,1
Kentucky,2015,47,0,1,275,1
Louisiana,2015,47,3,0,472,3
Massachusetts,2015,47,2,0,287,2
Michigan,2015,47,3,0,559,3
Minnesota,2015,47,1,0,266,1
Mississippi,2015,47,2,0,191,2
Missouri,2015,47,0,0,411,0
Montana,2015,47,0,0,67,0
Nebraska,2015,47,0,0,49,0
New Hampshire,2015,47,0,0,15,0
New Mexico,2015,47,0,0,288,0
New York,2015,47,4,4,1213,8
North Carolina,2015,47,1,4,219,5
Ohio,2015,47,0,1,705,1
Oklahoma,2015,47,0,0,170,0
Oregon,2015,47,0,0,205,0
Pennsylvania,2015,47,0,1,451,1
South Carolina,2015,47,2,0,300,2
South Dakota,2015,47,0,0,116,0
Tennessee,2015,47,0,7,217,7
Texas,2015,47,8,11,1494,19
Utah,2015,47,0,1,485,1
Vermont,2015,47,0,1,104,1
Virginia,2015,47,0,0,136,0
Washington,2015,47,0,1,294,1
West Virginia,2015,47,1,1,382,2
Wisconsin,2015,47,2,2,573,4
Wyoming,2015,47,0,0,14,0
Alabama,2015,48,5,4,321,9
Arizona,2015,48,1,0,88,1
Arkansas,2015,48,0,0,54,0
California,2015,48,9,7,1015,16
Colorado,2015,48,2,0,451,2
Connecticut,2015,48,1,0,349,1
Delaware,2015,48,0,0,61,0
Florida,2015,48,49,27,1245,76
Georgia,2015,48,2,3,452,5
Idaho,2015,48,5,2,43,7
Illinois,2015,48,3,2,365,5
Indiana,2015,48,2,0,112,2
Iowa,2015,48,0,0,93,0
Kansas,2015,48,3,0,105,3
Kentucky,2015,48,0,1,283,1
Louisiana,2015,48,2,0,483,2
Maryland,2015,48,0,0,21,0
Massachusetts,2015,48,1,1,286,2
Michigan,2015,48,7,0,610,7
Minnesota,2015,48,0,0,309,0
Mississippi,2015,48,4,1,182,5
Missouri,2015,48,1,0,491,1
Montana,2015,48,0,0,69,0
Nebraska,2015,48,0,0,63,0
Nevada,2015,48,1,0,18,1
New Hampshire,2015,48,0,0,18,0
New Mexico,2015,48,0,1,264,1
New York,2015,48,6,2,1457,8
North Carolina,2015,48,2,2,224,4
Ohio,2015,48,1,2,766,3
Oklahoma,2015,48,0,0,213,0
Oregon,2015,48,1,0,222,1
Pennsylvania,2015,48,4,2,488,6
South Carolina,2015,48,0,3,307,3
South Dakota,2015,48,1,1,130,2
Tennessee,2015,48,4,8,256,12
Texas,2015,48,10,10,1480,20
Utah,2015,48,1,0,564,1
Vermont,2015,48,0,0,104,0
Virginia,2015,48,0,0,215,0
Washington,2015,48,5,2,346,7
West Virginia,2015,48,0,0,419,0
Wisconsin,2015,48,2,0,721,2
Wyoming,2015,48,0,0,33,0
Alabama,2015,49,3,1,277,4
Arizona,2015,49,2,0,72,2
Arkansas,2015,49,0,0,48,0
California,2015,49,6,3,985,9
Colorado,2015,49,2,3,455,5
Connecticut,2015,49,1,1,343,2
Delaware,2015,49,0,0,87,0
Florida,2015,49,57,38,1348,95
Georgia,2015,49,2,5,683,7
Idaho,2015,49,2,1,37,3
Illinois,2015,49,3,0,359,3
Indiana,2015,49,0,0,158,0
Iowa,2015,49,0,0,84,0
Kansas,2015,49,4,1,137,5
Kentucky,2015,49,0,2,272,2
Louisiana,2015,49,2,0,400,2
Maryland,2015,49,0,0,21,0
Massachusetts,2015,49,0,3,303,3
Michigan,2015,49,9,1,599,10
Minnesota,2015,49,1,1,292,2
Mississippi,2015,49,2,0,179,2
Missouri,2015,49,2,1,456,3
Montana,2015,49,0,0,75,0
Nebraska,2015,49,0,0,72,0
Nevada,2015,49,0,0,23,0
New Hampshire,2015,49,0,0,19,0
New Mexico,2015,49,0,1,262,1
New York,2015,49,8,4,1422,12
North Carolina,2015,49,0,4,213,4
North Dakota,2015,49,0,0,11,0
Ohio,2015,49,1,2,808,3
Oklahoma,2015,49,0,0,214,0
Oregon,2015,49,3,2,214,5
Pennsylvania,2015,49,2,0,582,2
South Carolina,2015,49,0,2,307,2
South Dakota,2015,49,0,0,118,0
Tennessee,2015,49,2,10,294,12
Texas,2015,49,12,12,1557,24
Utah,2015,49,4,2,546,6
Vermont,2015,49,0,1,124,1
Virginia,2015,49,0,0,216,0
Washington,2015,49,2,1,358,3
West Virginia,2015,49,0,1,431,1
Wisconsin,2015,49,1,3,752,4
Wyoming,2015,49,0,0,33,0
Alabama,2015,50,3,6,250,9
Arizona,2015,50,2,1,87,3
Arkansas,2015,50,0,1,43,1
California,2015,50,11,8,1015,19
Colorado,2015,50,1,0,460,1
Connecticut,2015,50,0,2,351,2
Delaware,2015,50,0,0,82,0
Florida,2015,50,154,100,1806,254
Georgia,2015,50,1,10,751,11
Illinois,2015,50,5,1,372,6
Indiana,2015,50,0,0,142,0
Iowa,2015,50,2,0,88,2
Kansas,2015,50,2,1,118,3
Kentucky,2015,50,0,3,285,3
Louisiana,2015,50,2,0,428,2
Maryland,2015,50,0,0,17,0
Massachusetts,2015,50,1,0,345,1
Michigan,2015,50,4,0,549,4
Minnesota,2015,50,2,1,312,3
Mississippi,2015,50,3,0,157,3
Missouri,2015,50,4,1,489,5
Montana,2015,50,0,0,55,0
Nebraska,2015,50,0,0,62,0
Nevada,2015,50,0,0,17,0
New Hampshire,2015,50,0,0,16,0
New Mexico,2015,50,2,0,293,2
New York,2015,50,5,5,1613,10
North Carolina,2015,50,1,5,230,6
North Dakota,2015,50,0,0,13,0
Ohio,2015,50,3,3,818,6
Oklahoma,2015,50,0,1,194,1
Oregon,2015,50,8,4,211,12
Pennsylvania,2015,50,1,1,567,2
South Carolina,2015,50,0,0,301,0
South Dakota,2015,50,0,0,128,0
Tennessee,2015,50,0,6,278,6
Texas,2015,50,9,13,1655,22
Utah,2015,50,3,14,559,17
Vermont,2015,50,0,0,97,0
Virginia,2015,50,0,0,207,0
Washington,2015,50,4,3,315,7
West Virginia,2015,50,1,1,422,2
Wisconsin,2015,50,2,0,761,2
Wyoming,2015,50,0,0,20,0
Alabama,2015,51,2,1,257,3
Arizona,2015,51,1,0,78,1
Arkansas,2015,51,0,1,49,1
California,2015,51,22,18,1110,40
Colorado,2015,51,9,1,421,10
Connecticut,2015,51,4,0,327,4
Delaware,2015,51,1,0,86,1
Florida,2015,51,82,72,1345,154
Georgia,2015,51,4,3,733,7
Illinois,2015,51,6,1,391,7
Indiana,2015,51,0,0,114,0
Iowa,2015,51,0,1,97,1
Kansas,2015,51,1,0,110,1
Kentucky,2015,51,0,1,256,1
Louisiana,2015,51,6,1,576,7
Maine,2015,51,1,0,50,1
Maryland,2015,51,0,0,15,0
Massachusetts,2015,51,2,1,303,3
Michigan,2015,51,10,1,576,11
Minnesota,2015,51,5,0,298,5
Mississippi,2015,51,1,0,153,1
Missouri,2015,51,0,1,440,1
Montana,2015,51,0,0,68,0
Nebraska,2015,51,0,1,45,1
Nevada,2015,51,0,0,11,0
New Hampshire,2015,51,0,0,27,0
New Mexico,2015,51,6,1,277,7
New York,2015,51,5,4,1499,9
North Carolina,2015,51,2,3,227,5
North Dakota,2015,51,0,0,10,0
Ohio,2015,51,2,5,779,7
Oklahoma,2015,51,0,1,208,1
Oregon,2015,51,5,1,227,6
Pennsylvania,2015,51,0,2,562,2
South Carolina,2015,51,0,0,324,0
South Dakota,2015,51,0,1,136,1
Tennessee,2015,51,1,4,323,5
Texas,2015,51,15,21,1685,36
Utah,2015,51,9,11,552,20
Vermont,2015,51,0,1,142,1
Virginia,2015,51,7,0,219,7
Washington,2015,51,1,2,285,3
West Virginia,2015,51,0,5,413,5
Wisconsin,2015,51,2,0,673,2
Wyoming,2015,51,0,0,14,0
Alabama,2015,52,2,3,287,5
Arizona,2015,52,3,1,87,4
Arkansas,2015,52,0,0,44,0
California,2015,52,34,18,1263,52
Colorado,2015,52,9,0,511,9
Connecticut,2015,52,5,0,402,5
Delaware,2015,52,2,0,136,2
Florida,2015,52,100,82,1619,182
Georgia,2015,52,3,8,729,11
Illinois,2015,52,4,2,400,6
Indiana,2015,52,0,0,118,0
Iowa,2015,52,0,0,104,0
Kansas,2015,52,2,0,123,2
Kentucky,2015,52,0,2,308,2
Louisiana,2015,52,2,1,686,3
Maine,2015,52,0,0,56,0
Maryland,2015,52,0,0,17,0
Massachusetts,2015,52,0,0,314,0
Michigan,2015,52,5,2,727,7
Minnesota,2015,52,2,0,318,2
Mississippi,2015,52,1,0,159,1
Missouri,2015,52,2,0,481,2
Montana,2015,52,0,0,96,0
Nebraska,2015,52,0,0,69,0
Nevada,2015,52,0,0,17,0
New Hampshire,2015,52,0,0,10,0
New Mexico,2015,52,3,1,266,4
New York,2015,52,14,13,1569,27
North Carolina,2015,52,3,3,227,6
North Dakota,2015,52,0,0,15,0
Ohio,2015,52,1,1,879,2
Oklahoma,2015,52,2,5,182,7
Oregon,2015,52,8,5,263,13
Pennsylvania,2015,52,6,4,641,10
South Carolina,2015,52,0,1,293,1
South Dakota,2015,52,0,2,156,2
Tennessee,2015,52,0,9,328,9
Texas,2015,52,13,9,1630,22
Utah,2015,52,15,17,696,32
Vermont,2015,52,0,1,160,1
Virginia,2015,52,1,0,249,1
Washington,2015,52,5,7,401,12
West Virginia,2015,52,1,2,553,3
Wisconsin,2015,52,3,1,874,4
Wyoming,2015,52,0,0,32,0
Alabama,2016,1,3,2,262,5
Arizona,2016,1,11,1,121,12
Arkansas,2016,1,0,0,54,0
California,2016,1,85,35,1431,120
Colorado,2016,1,15,0,551,15
Connecticut,2016,1,8,0,427,8
Delaware,2016,1,1,0,113,1
Florida,2016,1,78,37,1373,115
Georgia,2016,1,3,4,610,7
Idaho,2016,1,3,0,12,3
Illinois,2016,1,27,3,439,30
Indiana,2016,1,1,1,142,2
Iowa,2016,1,0,0,76,0
Kansas,2016,1,4,3,124,7
Kentucky,2016,1,0,1,324,1
Louisiana,2016,1,4,0,571,4
Maine,2016,1,0,0,65,0
Maryland,2016,1,0,0,17,0
Massachusetts,2016,1,1,3,444,4
Michigan,2016,1,11,1,710,12
Minnesota,2016,1,2,1,419,3
Mississippi,2016,1,2,0,139,2
Missouri,2016,1,3,0,507,3
Montana,2016,1,0,0,76,0
Nebraska,2016,1,0,0,60,0
Nevada,2016,1,1,0,26,1
New Hampshire,2016,1,2,0,17,2
New Mexico,2016,1,2,4,336,6
New York,2016,1,16,4,2070,20
North Carolina,2016,1,3,3,188,6
North Dakota,2016,1,0,0,26,0
Ohio,2016,1,3,5,865,8
Oklahoma,2016,1,1,1,209,2
Oregon,2016,1,7,9,269,16
Pennsylvania,2016,1,3,2,690,5
South Carolina,2016,1,4,0,314,4
South Dakota,2016,1,0,0,169,0
Tennessee,2016,1,1,7,287,8
Texas,2016,1,27,12,1668,39
Utah,2016,1,28,25,739,53
Vermont,2016,1,1,2,161,3
Virginia,2016,1,2,0,300,2
Washington,2016,1,7,15,435,22
West Virginia,2016,1,0,1,517,1
Wisconsin,2016,1,12,1,935,13
Wyoming,2016,1,0,0,22,0
Alabama,2016,2,5,3,272,8
Arizona,2016,2,12,2,91,14
Arkansas,2016,2,0,0,42,0
California,2016,2,109,39,1477,148
Colorado,2016,2,7,1,510,8
Connecticut,2016,2,16,1,384,17
Delaware,2016,2,1,0,114,1
Florida,2016,2,171,47,1465,218
Georgia,2016,2,5,1,573,6
Illinois,2016,2,15,1,425,16
Indiana,2016,2,0,0,119,0
Iowa,2016,2,1,0,88,1
Kansas,2016,2,0,1,114,1
Kentucky,2016,2,3,3,292,6
Louisiana,2016,2,7,3,632,10
Maine,2016,2,1,0,55,1
Maryland,2016,2,0,0,26,0
Massachusetts,2016,2,8,1,360,9
Michigan,2016,2,21,2,650,23
Minnesota,2016,2,4,0,333,4
Mississippi,2016,2,2,0,119,2
Missouri,2016,2,12,0,490,12
Montana,2016,2,0,0,63,0
Nebraska,2016,2,0,0,63,0
Nevada,2016,2,1,0,27,1
New Hampshire,2016,2,1,0,22,1
New Mexico,2016,2,7,4,301,11
New York,2016,2,37,9,1857,46
North Carolina,2016,2,5,3,169,8
North Dakota,2016,2,0,1,19,1
Ohio,2016,2,3,2,844,5
Oklahoma,2016,2,1,2,189,3
Oregon,2016,2,12,20,285,32
Pennsylvania,2016,2,3,3,608,6
South Carolina,2016,2,1,0,270,1
South Dakota,2016,2,0,0,168,0
Tennessee,2016,2,5,6,221,11
Texas,2016,2,28,13,1603,41
Utah,2016,2,11,27,714,38
Vermont,2016,2,1,1,146,2
Virginia,2016,2,1,0,239,1
Washington,2016,2,11,24,436,35
West Virginia,2016,2,2,2,458,4
Wisconsin,2016,2,9,0,861,9
Wyoming,2016,2,2,0,25,2
Alabama,2016,3,5,4,289,9
Arizona,2016,3,19,4,98,23
Arkansas,2016,3,0,1,54,1
California,2016,3,137,68,1627,205
Colorado,2016,3,19,2,592,21
Connecticut,2016,3,23,2,417,25
Delaware,2016,3,0,0,109,0
Florida,2016,3,178,57,1485,235
Georgia,2016,3,16,4,577,20
Illinois,2016,3,25,1,400,26
Indiana,2016,3,1,0,117,1
Iowa,2016,3,2,0,102,2
Kansas,2016,3,3,1,113,4
Kentucky,2016,3,1,2,245,3
Louisiana,2016,3,8,2,611,10
Maine,2016,3,0,0,56,0
Maryland,2016,3,0,0,21,0
Massachusetts,2016,3,6,4,382,10
Michigan,2016,3,27,3,719,30
Minnesota,2016,3,7,0,325,7
Mississippi,2016,3,3,1,134,4
Missouri,2016,3,11,0,489,11
Montana,2016,3,0,1,87,1
Nebraska,2016,3,1,1,71,2
Nevada,2016,3,1,0,13,1
New Hampshire,2016,3,0,0,24,0
New Mexico,2016,3,19,4,338,23
New York,2016,3,53,5,1664,58
North Carolina,2016,3,1,6,147,7
North Dakota,2016,3,0,0,44,0
Ohio,2016,3,3,5,766,8
Oklahoma,2016,3,2,2,203,4
Oregon,2016,3,18,32,325,50
Pennsylvania,2016,3,4,3,639,7
South Carolina,2016,3,4,3,302,7
South Dakota,2016,3,2,0,156,2
Tennessee,2016,3,3,2,182,5
Texas,2016,3,27,21,1569,48
Utah,2016,3,23,30,754,53
Vermont,2016,3,1,1,137,2
Virginia,2016,3,1,1,182,2
Washington,2016,3,11,34,509,45
West Virginia,2016,3,2,0,313,2
Wisconsin,2016,3,21,1,885,22
Wyoming,2016,3,2,1,33,3
Alabama,2016,4,3,2,267,5
Arizona,2016,4,13,2,119,15
Arkansas,2016,4,0,4,76,4
California,2016,4,172,83,1897,255
Colorado,2016,4,26,6,606,32
Connecticut,2016,4,32,1,502,33
Delaware,2016,4,4,1,104,5
Florida,2016,4,236,73,1722,309
Georgia,2016,4,14,4,672,18
Idaho,2016,4,0,3,20,3
Illinois,2016,4,43,10,497,53
Indiana,2016,4,4,2,131,6
Iowa,2016,4,3,0,97,3
Kansas,2016,4,5,0,115,5
Kentucky,2016,4,7,2,315,9
Louisiana,2016,4,12,5,618,17
Maine,2016,4,1,1,67,2
Maryland,2016,4,0,0,18,0
Massachusetts,2016,4,15,4,444,19
Michigan,2016,4,54,6,777,60
Minnesota,2016,4,16,3,330,19
Mississippi,2016,4,4,0,136,4
Missouri,2016,4,8,2,452,10
Montana,2016,4,3,1,97,4
Nebraska,2016,4,2,0,100,2
Nevada,2016,4,1,0,18,1
New Hampshire,2016,4,0,0,17,0
New Mexico,2016,4,17,6,392,23
New York,2016,4,85,9,1749,94
North Carolina,2016,4,4,4,140,8
North Dakota,2016,4,0,0,42,0
Ohio,2016,4,11,0,941,11
Oklahoma,2016,4,3,6,240,9
Oregon,2016,4,20,25,364,45
Pennsylvania,2016,4,5,0,576,5
South Carolina,2016,4,11,3,360,14
South Dakota,2016,4,0,1,197,1
Tennessee,2016,4,2,8,194,10
Texas,2016,4,44,27,1715,71
Utah,2016,4,34,60,873,94
Vermont,2016,4,0,1,134,1
Virginia,2016,4,6,0,186,6
Washington,2016,4,22,38,511,60
West Virginia,2016,4,2,3,405,5
Wisconsin,2016,4,47,0,966,47
Wyoming,2016,4,5,0,46,5
Alabama,2016,5,4,2,252,6
Arizona,2016,5,26,2,163,28
Arkansas,2016,5,0,4,83,4
California,2016,5,205,100,2037,305
Colorado,2016,5,32,3,639,35
Connecticut,2016,5,44,2,456,46
Delaware,2016,5,4,2,114,6
Florida,2016,5,393,115,2158,508
